algorithm,n,procs,repeat,time_seconds,reconstruction_error,residual
lu_hilbert_column_pivot,10,2,2,1.6000001778593287e-05,4.075868257955423e-17,5.7740399597011681e-17
lu_hilbert_column_pivot,10,2,3,1.7599999409867451e-05,4.075868257955423e-17,5.7740399597011681e-17
lu_hilbert_column_pivot,10,2,4,1.2600001355167478e-05,4.075868257955423e-17,5.7740399597011681e-17
lu_hilbert_column_pivot,10,2,5,1.2299999070819467e-05,4.075868257955423e-17,5.7740399597011681e-17
lu_hilbert_column_pivot,10,4,1,0.00034089999826392159,4.075868257955423e-17,5.7740399597011693e-17
lu_hilbert_column_pivot,10,4,2,3.5600001865532249e-05,4.075868257955423e-17,5.7740399597011693e-17
lu_hilbert_column_pivot,10,4,3,2.5699999241624027e-05,4.075868257955423e-17,5.7740399597011693e-17
lu_hilbert_column_pivot,10,4,4,2.5299999833805487e-05,4.075868257955423e-17,5.7740399597011693e-17
lu_hilbert_column_pivot,10,4,5,2.2100000933278352e-05,4.075868257955423e-17,5.7740399597011693e-17
lu_hilbert_column_pivot,10,8,1,0.003475800000160234,4.0758682579554224e-17,5.7740399597011681e-17
lu_hilbert_column_pivot,10,8,2,5.2600000344682485e-05,4.0758682579554224e-17,5.7740399597011681e-17
lu_hilbert_column_pivot,10,8,3,5.7799999922281131e-05,4.0758682579554224e-17,5.7740399597011681e-17
lu_hilbert_column_pivot,10,8,4,6.8400000600377098e-05,4.0758682579554224e-17,5.7740399597011681e-17
lu_hilbert_column_pivot,10,8,5,6.1300001107156277e-05,4.0758682579554224e-17,5.7740399597011681e-17
lu_hilbert_column_pivot,50,1,1,5.2899998991051689e-05,9.3431705846644816e-17,5.1772772648219623e-16
lu_hilbert_column_pivot,50,1,2,3.1499999749939889e-05,9.3431705846644816e-17,5.1772772648219623e-16
lu_hilbert_column_pivot,50,1,3,3.980000110459514e-05,9.3431705846644816e-17,5.1772772648219623e-16
lu_hilbert_column_pivot,50,1,4,6.1700000514974818e-05,9.3431705846644816e-17,5.1772772648219623e-16
lu_hilbert_column_pivot,50,1,5,4.3899999582208693e-05,9.3431705846644816e-17,5.1772772648219623e-16
lu_hilbert_column_pivot,50,2,1,0.00020729999960167333,9.3431705846644964e-17,5.1772772648219623e-16
lu_hilbert_column_pivot,50,2,2,9.0199999249307439e-05,9.3431705846644964e-17,5.1772772648219623e-16
lu_hilbert_column_pivot,50,2,3,7.0099998993100598e-05,9.3431705846644964e-17,5.1772772648219623e-16
lu_hilbert_column_pivot,50,2,4,7.0199999754549935e-05,9.3431705846644964e-17,5.1772772648219623e-16
lu_hilbert_column_pivot,50,2,5,6.919999941601418e-05,9.3431705846644964e-17,5.1772772648219623e-16
lu_hilbert_column_pivot,50,4,1,0.00048600000081933104,9.3431705846644878e-17,5.1772772648219633e-16
lu_hilbert_column_pivot,50,4,2,0.00021669999841833487,9.3431705846644878e-17,5.1772772648219633e-16
lu_hilbert_column_pivot,50,4,3,0.00019529999917722307,9.3431705846644878e-17,5.1772772648219633e-16
lu_hilbert_column_pivot,50,4,4,0.0001725999973132275,9.3431705846644878e-17,5.1772772648219633e-16
lu_hilbert_column_pivot,50,4,5,0.00016719999985070899,9.3431705846644878e-17,5.1772772648219633e-16
lu_hilbert_column_pivot,50,8,1,0.0015812000019650441,9.343170584664489e-17,5.1772772648219623e-16
